Team,Manager,Date,Round,Venue,Result,GF,GA,Opponent,Players Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl Vs Drb,Tkl Vs Drb Attp,Tkl Vs Drb %,Tkl Vs Drb Past,Pressures,Succ Press,Succ Press %,Press Def 3rd,Press Mid 3rd,Press Att 3rd,Blocks,Shot  Blocks ,Shot Tgt Blocks ,Pass Blocks,Int,Tkl+Int,Clr,Err
Chelsea,Lampard,20/10/2020,Group stage,Home,D,0,0,Sevilla,24,15,15,7,2,8,18,44.4,10,141,44,31.2,45,63,33,26,2,0,24,8,47,21,0
Chelsea,Lampard,28/10/2020,Group stage,Away,W,4,0,Krasnodar,16,8,5,10,1,3,23,13,20,113,35,31,32,53,28,9,3,0,6,6,30,21,0
Chelsea,Lampard,04/11/2020,Group stage,Home,W,3,0,Rennes,17,13,7,6,4,2,6,33.3,4,127,29,22.8,39,67,21,18,2,0,16,4,34,20,0
Chelsea,Lampard,24/11/2020,Group stage,Away,W,2,1,Rennes,15,11,7,6,2,6,11,54.5,5,117,43,36.8,43,55,19,29,5,0,24,10,36,16,1
Chelsea,Lampard,02/12/2020,Group stage,Away,W,4,0,Sevilla,16,9,6,7,3,9,16,56.3,7,102,30,29.4,19,55,28,22,9,0,13,6,31,14,1
Chelsea,Lampard,08/12/2020,Group stage,Home,D,1,1,Krasnodar,14,9,3,8,3,3,10,30,7,141,50,35.5,27,63,51,14,3,0,11,10,33,6,0
Chelsea,Tuchel,23/02/2021,Round of 16,Away,W,1,0,Atlético Madrid,15,10,7,6,2,3,6,50,3,157,57,36.3,45,74,38,12,3,0,9,12,37,37,1
Chelsea,Tuchel,17/03/2021,Round of 16,Home,W,2,0,Atlético Madrid,11,9,7,3,1,4,12,33.3,8,144,56,38.9,43,65,36,20,4,0,16,17,37,26,0
Chelsea,Tuchel,07/04/2021,Quarter-finals,Away,W,2,0,Porto,17,9,11,5,1,6,20,30,14,113,22,19.5,59,35,19,14,5,0,9,10,36,32,0
Chelsea,Tuchel,13/04/2021,Quarter-finals,Home,L,0,1,Porto,21,9,10,9,2,5,15,33.3,10,115,38,33,48,54,13,22,3,0,19,8,38,50,1
Chelsea,Tuchel,27/04/2021,Semi-finals,Away,D,1,1,Real Madrid,22,11,8,10,4,7,16,43.8,9,220,46,20.9,53,115,52,20,5,0,15,22,55,8,0
Chelsea,Tuchel,05/05/2021,Semi-finals,Home,W,2,0,Real Madrid,17,9,2,13,2,1,12,8.3,11,221,51,23.1,64,115,42,6,2,0,4,19,45,12,0
