Team,Manager,Date,Round,Venue,Result,GF,GA,Opponent,xG,xGA,Poss
Chelsea,Lampard,20/10/2020,Group stage,Home,D,0,0,Sevilla,0.5,0.3,44
Chelsea,Lampard,28/10/2020,Group stage,Away,W,4,0,Krasnodar,2.6,0.6,70
Chelsea,Lampard,04/11/2020,Group stage,Home,W,3,0,Rennes,2.8,0.4,57
Chelsea,Lampard,24/11/2020,Group stage,Away,W,2,1,Rennes,1.9,1.1,49
Chelsea,Lampard,02/12/2020,Group stage,Away,W,4,0,Sevilla,2.2,1.2,45
Chelsea,Lampard,08/12/2020,Group stage,Home,D,1,1,Krasnodar,1.9,0.7,63
Chelsea,Tuchel,23/02/2021,Round of 16,Away,W,1,0,Atlético Madrid,0.6,0.5,62
Chelsea,Tuchel,17/03/2021,Round of 16,Home,W,2,0,Atlético Madrid,1.7,0.6,55
Chelsea,Tuchel,07/04/2021,Quarter finals,Away,W,2,0,Porto,1.5,1,59
Chelsea,Tuchel,13/04/2021,Quarter finals,Home,L,0,1,Porto,0.9,0.3,47
Chelsea,Tuchel,27/04/2021,Semi finals,Away,D,1,1,Real Madrid,1.4,0.3,49
Chelsea,Tuchel,05/05/2021,Semi finals,Home,W,2,0,Real Madrid,4.2,0.5,64
