Team,Manager,Date,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss
Chelsea,Lampard,14/09/2020,Matchweek 1,Mon,Away,W,3,1,Brighton,1.2,1.4,47
Chelsea,Lampard,20/09/2020,Matchweek 2,Sun,Home,L,0,2,Liverpool,1,2.6,39
Chelsea,Lampard,26/09/2020,Matchweek 3,Sat,Away,D,3,3,West Brom,2.2,1,75
Chelsea,Lampard,03/10/2020,Matchweek 4,Sat,Home,W,4,0,Crystal Palace,2.5,0.1,69
Chelsea,Lampard,17/10/2020,Matchweek 5,Sat,Home,D,3,3,Southampton,2,2.2,53
Chelsea,Lampard,24/10/2020,Matchweek 6,Sat,Away,D,0,0,Manchester Utd,0.2,0.7,50
Chelsea,Lampard,31/10/2020,Matchweek 7,Sat,Away,W,3,0,Burnley,1.4,0.4,64
Chelsea,Lampard,07/11/2020,Matchweek 8,Sat,Home,W,4,1,Sheffield Utd,2.7,0.6,69
Chelsea,Lampard,21/11/2020,Matchweek 9,Sat,Away,W,2,0,Newcastle Utd,1.6,0.6,71
Chelsea,Lampard,29/11/2020,Matchweek 10,Sun,Home,D,0,0,Tottenham,1,0.2,60
Chelsea,Lampard,05/12/2020,Matchweek 11,Sat,Home,W,3,1,Leeds United,3.7,1.3,46
Chelsea,Lampard,12/12/2020,Matchweek 12,Sat,Away,L,0,1,Everton,0.9,1.3,71
Chelsea,Lampard,15/12/2020,Matchweek 13,Tue,Away,L,1,2,Wolves,1.3,0.5,54
Chelsea,Lampard,21/12/2020,Matchweek 14,Mon,Home,W,3,0,West Ham,2.1,0.5,53
Chelsea,Lampard,26/12/2020,Matchweek 15,Sat,Away,L,1,3,Arsenal,2.3,2.1,59
Chelsea,Lampard,28/12/2020,Matchweek 16,Mon,Home,D,1,1,Aston Villa,1.4,0.8,63
Chelsea,Lampard,03/01/2021,Matchweek 17,Sun,Home,L,1,3,Manchester City,0.8,2.4,54
Chelsea,Lampard,16/01/2021,Matchweek 19,Sat,Away,W,1,0,Fulham,1.5,0.8,68
Chelsea,Lampard,19/01/2021,Matchweek 18,Tue,Away,L,0,2,Leicester City,0.8,1.2,63
Chelsea,Tuchel,27/01/2021,Matchweek 20,Wed,Home,D,0,0,Wolves,0.8,0.4,78
Chelsea,Tuchel,31/01/2021,Matchweek 21,Sun,Home,W,2,0,Burnley,1.3,0.2,71
Chelsea,Tuchel,04/02/2021,Matchweek 22,Thu,Away,W,1,0,Tottenham,2.2,0.3,58
Chelsea,Tuchel,07/02/2021,Matchweek 23,Sun,Away,W,2,1,Sheffield Utd,1.4,0.4,68
Chelsea,Tuchel,15/02/2021,Matchweek 24,Mon,Home,W,2,0,Newcastle Utd,2,0.7,65
Chelsea,Tuchel,20/02/2021,Matchweek 25,Sat,Away,D,1,1,Southampton,1.2,0.5,70
Chelsea,Tuchel,28/02/2021,Matchweek 26,Sun,Home,D,0,0,Manchester Utd,1.1,0.5,57
Chelsea,Tuchel,04/03/2021,Matchweek 29,Thu,Away,W,1,0,Liverpool,1,0.3,45
Chelsea,Tuchel,08/03/2021,Matchweek 27,Mon,Home,W,2,0,Everton,2.9,0.3,65
Chelsea,Tuchel,13/03/2021,Matchweek 28,Sat,Away,D,0,0,Leeds United,1.4,0.4,62
Chelsea,Tuchel,03/04/2021,Matchweek 30,Sat,Home,L,2,5,West Brom,2.4,1.9,63
Chelsea,Tuchel,10/04/2021,Matchweek 31,Sat,Away,W,4,1,Crystal Palace,2.5,0.1,64
Chelsea,Tuchel,20/04/2021,Matchweek 32,Tue,Home,D,0,0,Brighton,1,0.7,64
Chelsea,Tuchel,24/04/2021,Matchweek 33,Sat,Away,W,1,0,West Ham,2.2,0.4,55
Chelsea,Tuchel,01/05/2021,Matchweek 34,Sat,Home,W,2,0,Fulham,1.9,0.3,48
Chelsea,Tuchel,08/05/2021,Matchweek 35,Sat,Away,W,2,1,Manchester City,0.8,2.2,51
Chelsea,Tuchel,12/05/2021,Matchweek 36,Wed,Home,L,0,1,Arsenal,2.1,0.8,67
Chelsea,Tuchel,18/05/2021,Matchweek 37,Tue,Home,W,2,1,Leicester City,2.8,0.9,58
Chelsea,Tuchel,23/05/2021,Matchweek 38,Sun,Away,L,1,2,Aston Villa,2.4,1,72
