Team,Manager,Date,Round,Venue,Result,GF,GA,Opponent,Pass Cmp,Pass Attp,Pass Cmp %,Pass Tot Dist,Pass Prg Dist,Pass Cmp Short ,Pass Attp Short,Pass Cmp % Short,Pass Cmp Med,Pass Attp Med,Pass Cmp % Med,Pass Cmp Long ,Pass Att Long,Pass Cmp % Long,Ast,xA,KP,Atk 3rd Pass,PPA,CrsPA,Prg Pass Pen
Chelsea,Lampard,14/09/2020,Matchweek 1,Away,W,3,1,Brighton,402,484,83.1,7964,2415,172,185,93,166,185,89.7,59,96,61.5,2,0.4,9,22,7,1,28
Chelsea,Lampard,20/09/2020,Matchweek 2,Home,L,0,2,Liverpool,439,518,84.7,8486,2385,191,208,91.8,174,196,88.8,68,97,70.1,0,0.2,3,13,3,2,16
Chelsea,Lampard,26/09/2020,Matchweek 3,Away,D,3,3,West Brom,732,837,87.5,13784,3722,293,324,90.4,359,388,92.5,74,106,69.8,2,1.2,18,75,13,4,66
Chelsea,Lampard,03/10/2020,Matchweek 4,Home,W,4,0,Crystal Palace,650,736,88.3,13143,3137,214,236,90.7,322,349,92.3,103,127,81.1,1,0.9,13,58,8,2,35
Chelsea,Lampard,17/10/2020,Matchweek 5,Home,D,3,3,Southampton,500,612,81.7,9465,2953,201,237,84.8,228,261,87.4,60,92,65.2,2,1.8,10,26,15,1,37
Chelsea,Lampard,24/10/2020,Matchweek 6,Away,D,0,0,Manchester Utd,500,613,81.6,9459,2423,188,202,93.1,249,282,88.3,58,101,57.4,0,0.1,3,22,3,1,26
Chelsea,Lampard,31/10/2020,Matchweek 7,Away,W,3,0,Burnley,620,713,87,11624,3421,273,297,91.9,248,268,92.5,85,129,65.9,3,0.8,10,41,11,3,46
Chelsea,Lampard,07/11/2020,Matchweek 8,Home,W,4,1,Sheffield Utd,695,789,88.1,14832,3598,221,248,89.1,337,363,92.8,127,157,80.9,4,1.9,13,49,10,4,47
Chelsea,Lampard,21/11/2020,Matchweek 9,Away,W,2,0,Newcastle Utd,685,780,87.8,13299,3225,259,280,92.5,308,338,91.1,100,132,75.8,1,1.6,13,59,9,2,50
Chelsea,Lampard,29/11/2020,Matchweek 10,Home,D,0,0,Tottenham,607,697,87.1,12435,3261,208,228,91.2,295,318,92.8,100,134,74.6,0,0.8,11,57,11,7,49
Chelsea,Lampard,05/12/2020,Matchweek 11,Home,W,3,1,Leeds United,349,458,76.2,6536,2469,137,165,83,144,171,84.2,52,86,60.5,3,2.3,18,20,11,2,34
Chelsea,Lampard,12/12/2020,Matchweek 12,Away,L,0,1,Everton,573,702,81.6,10919,3327,215,245,87.8,270,307,87.9,72,116,62.1,0,0.6,6,43,6,1,53
Chelsea,Lampard,15/12/2020,Matchweek 13,Away,L,1,2,Wolves,444,538,82.5,8774,2670,183,214,85.5,188,217,86.6,68,93,73.1,1,0.7,9,35,10,4,34
Chelsea,Lampard,21/12/2020,Matchweek 14,Home,W,3,0,West Ham,466,556,83.8,9401,2738,173,187,92.5,218,243,89.7,70,110,63.6,2,1.2,6,27,9,1,31
Chelsea,Lampard,26/12/2020,Matchweek 15,Away,L,1,3,Arsenal,425,521,81.6,8805,2814,170,189,89.9,176,204,86.3,74,114,64.9,1,1.2,13,28,11,2,41
Chelsea,Lampard,28/12/2020,Matchweek 16,Home,D,1,1,Aston Villa,484,597,81.1,9200,2755,197,226,87.2,213,252,84.5,61,98,62.2,1,0.7,11,29,11,3,39
Chelsea,Lampard,03/01/2021,Matchweek 17,Home,L,1,3,Manchester City,595,670,88.8,11457,3255,260,281,92.5,237,258,91.9,89,114,78.1,1,0.7,8,32,6,2,34
Chelsea,Lampard,16/01/2021,Matchweek 19,Away,W,1,0,Fulham,686,794,86.4,13397,3315,241,260,92.7,321,345,93,103,149,69.1,0,1.1,17,59,11,2,44
Chelsea,Lampard,19/01/2021,Matchweek 18,Away,L,0,2,Leicester City,572,654,87.5,11658,2998,213,232,91.8,267,285,93.7,90,120,75,0,0.7,8,36,11,3,35
Chelsea,Tuchel,27/01/2021,Matchweek 20,Home,D,0,0,Wolves,852,944,90.3,15629,3932,346,376,92,421,445,94.6,81,112,72.3,0,0.7,13,82,9,2,53
