Date,Round,Manager,Result,GF,GA,Opponent,Possession,Number Touches Made By Team,Touches In Defensive  Penalty Area,Touches In Defensive 3rd,Touches In Midfield 3rd,Touches In Attacking 3rd,Touches In Attacking Penalty Area,Live Ball Touches,Successful Dribbles,Attempted Dribbles,Dribble Success Rate %,Number Of Players Dribbled Past,Number Of Nutmegs,Number Of Ball Carries,Total Distance Of Ball Carries,Progressive Distnace Of Ball Carries,Carries Into Midfield 3rd + Attacking 3rd,Carries Entering The Attacking 3rd,Carries Into 18 Yard Box,Miscontrolled Carries,Carry Dispossessions ,Number Of Recievers Of An Attempted Pass,Number Of Recievers Of Successful Passes,Number Of Recievers Of Successful Passes Percentage %,Progressive Passes Received
14/09/2020,Matchweek 1,Lampard,W,3,1,Brighton,47,600,65,249,256,130,24,558,9,21,42.9,10,2,378,1908,1009,33,10,5,9,9,467,402,86.1,38
20/09/2020,Matchweek 2,Lampard,L,0,2,Liverpool,39,638,139,372,244,53,13,609,15,27,55.6,17,2,474,1760,876,23,5,4,5,9,505,439,86.9,18
26/09/2020,Matchweek 3,Lampard,D,3,3,West Brom,75,953,48,215,507,304,34,909,4,8,50,4,0,661,3718,2334,103,26,7,10,12,765,732,95.7,73
03/10/2020,Matchweek 4,Lampard,W,4,0,Crystal Palace,69,849,69,249,442,207,24,806,5,10,50,5,1,605,2880,1564,57,15,1,12,9,706,650,92.1,35
17/10/2020,Matchweek 5,Lampard,D,3,3,Southampton,53,739,82,294,321,161,33,691,7,15,46.7,9,4,401,1828,995,34,13,3,17,18,544,500,91.9,45
24/10/2020,Matchweek 6,Lampard,D,0,0,Manchester Utd,50,739,83,307,340,137,10,701,9,19,47.4,10,0,414,1850,1050,41,11,4,7,8,559,500,89.4,26
31/10/2020,Matchweek 7,Lampard,W,3,0,Burnley,64,821,62,237,430,202,27,778,7,16,43.8,7,0,640,2435,1299,50,17,5,15,14,690,620,89.9,46
07/11/2020,Matchweek 8,Lampard,W,4,1,Sheffield Utd,69,918,62,278,460,229,33,875,9,15,60,9,0,557,2795,1636,53,14,5,14,8,785,695,88.5,47
21/11/2020,Matchweek 9,Lampard,W,2,0,Newcastle Utd,71,873,72,256,420,251,28,842,5,6,83.3,5,0,624,3080,1711,61,18,9,8,6,766,685,89.4,50
29/11/2020,Matchweek 10,Lampard,D,0,0,Tottenham,60,785,52,196,426,229,21,760,7,12,58.3,7,0,582,2944,1528,63,19,5,13,2,682,607,89,49
